pct_morena2018,ing_lab2022,ing_gob2022,cambio_mor,cambio_ing_gob,cambio_ing_lab,gob_estado
69.85238,9.723859114891749,1.1771353227600545,8.471751,-2.5661197,39.59222,Morena-PT-PVEM
34.74928,15.32965569371841,0.3515084042985093,19.394192,11.577003,45.033264,PAN-PRI-PRD
49.985817,12.386878675729886,0.850510773223708,1.8048912,-2.039276,126.98093,PAN-PRI-PRD
25.656113,6.0256453027717765,0.8705234737443118,2.2134452,4.7764077,-39.63103,PAN-PRI-PRD
35.984566,10.289779613120306,0.5283655354992772,-4.6710196,6.5113707,-4.382584,PAN-PRI-PRD
55.98973,18.593167568443874,0.41099299463679284,-11.705706,47.47834,-19.138826,PAN-PRI-PRD
33.677586,21.86440126357576,0.49630150442500887,5.303055,231.97299,20.173277,PAN-PRI-PRD
48.88454,15.609677555360014,0.5298746807850258,0.5547762,195.61438,13.998812,PAN-PRI-PRD
31.303007,14.636268488579912,0.6753648461834842,31.583261,7.964975,0.40364397,PAN-PRI-PRD
35.809383,5.25008616155333,1.581402664145705,18.338255,63.85249,-61.597565,PAN-PRI-PRD
52.057827,11.227187867023297,0.9264493275790151,-2.1450548,93.70231,54.021233,PAN-PRI-PRD
35.696186,41.443429451692076,0.7216897634609197,3.556058,126.8256,171.15755,PAN-PRI-PRD
42.8532,10.34791126886365,0.3247831191962848,10.111898,20.043425,-21.20261,PAN-PRI-PRD
52.446716,21.099486233306855,0.4029390825286688,16.697062,172.64885,17.59309,PAN-PRI-PRD
37.567825,9.677449975191346,0.5336797067473461,-9.365347,142.95108,-1.5036688,PAN-PRI-PRD
37.481644,15.448103570291352,0.8509350314132459,16.15199,7.756977,64.788185,PAN-PRI-PRD
50.254845,9.516430455588592,0.3069519801783331,-8.339077,9.013138,43.28442,PAN-PRI-PRD
22.560974,8.826615953419672,0.6541074718528311,45.79139,-17.295362,50.963863,PAN-PRI-PRD
47.653706,16.06233879744872,0.37987428871255097,-4.050174,-30.522879,14.645849,PAN-PRI-PRD
25.388256,27.850983596463063,0.06335192455859014,12.058276,-52.34894,41.70278,PAN-PRI-PRD
21.273167,35.45748356874512,0.11514905546503867,0.21443516,-44.606144,-29.357864,PAN-PRI-PRD
